Flow,Period,All Nationalities,British,EU,Non-EU,None,None,None,None
Emigration,YE Jun 23 P,-508000,-93000,-215000,-200000,None,None,None,None
Net,YE Jun 12,162000,-83000,187000,57000,None,None,None,None
Net,YE Sep 12,157000,-80000,183000,54000,None,None,None,None
Net,YE Dec 12,195000,-72000,206000,61000,None,None,None,None
Net,YE Mar 13,204000,-79000,223000,60000,None,None,None,None
Net,YE Jun 13,215000,-83000,242000,56000,None,None,None,None
Net,YE Sep 13,259000,-80000,275000,64000,None,None,None,None
Net,YE Dec 13,244000,-81000,262000,63000,None,None,None,None
Net,YE Mar 14,256000,-74000,263000,67000,None,None,None,None
Net,YE Jun 14,248000,-75000,258000,65000,None,None,None,None
Net,YE Sep 14,264000,-79000,270000,73000,None,None,None,None
Net,YE Dec 14,284000,-80000,277000,87000,None,None,None,None
Net,YE Mar 15,296000,-73000,275000,94000,None,None,None,None
Net,YE Jun 15,296000,-72000,267000,101000,None,None,None,None
Net,YE Sep 15,293000,-72000,262000,103000,None,None,None,None
Net,YE Dec 15,303000,-73000,287000,88000,None,None,None,None
Net,YE Mar 16,298000,-77000,294000,80000,None,None,None,None
Net,YE Jun 16,321000,-83000,322000,82000,None,None,None,None
Net,YE Sep 16,290000,-87000,294000,83000,None,None,None,None
Net,YE Dec 16,249000,-94000,253000,90000,None,None,None,None
Net,YE Mar 17,240000,-91000,235000,97000,None,None,None,None
Net,YE Jun 17,200000,-79000,188000,91000,None,None,None,None
Net,YE Sep 17,205000,-85000,192000,98000,None,None,None,None
Net,YE Dec 17,208000,-81000,176000,114000,None,None,None,None
Net,YE Mar 18,193000,-89000,160000,122000,None,None,None,None
Net,YE Jun 18,216000,-84000,158000,143000,None,None,None,None
Net,YE Sep 18,226000,-67000,138000,155000,None,None,None,None
Net,YE Dec 18,276000,-72000,170000,178000,None,None,None,None
Net,YE Mar 19,274000,-72000,155000,190000,None,None,None,None
Net,YE Jun 19,224000,-82000,126000,179000,None,None,None,None
Net,YE Sep 19,202000,-83000,114000,171000,None,None,None,None
Net,YE Dec 19,184000,-82000,80000,186000,None,None,None,None
Net,YE Mar 20,170000,-77000,81000,166000,None,None,None,None
